cast_id,title_id,actor_name,role_type
149,t0038,Nawazuddin Siddiqui,Supporting
150,t0039,Rami Malek,Lead
151,t0039,Marion Cotillard,Lead
152,t0039,Ken Watanabe,Supporting
153,t0039,Song Kang-ho,Supporting
154,t0039,Oscar Isaac,Supporting
155,t0040,Tessa Thompson,Supporting
156,t0040,Song Kang-ho,Supporting
157,t0040,Tom Hanks,Lead
158,t0041,Oscar Isaac,Supporting
159,t0041,Ryan Gosling,Supporting
160,t0042,Shah Rukh Khan,Supporting
161,t0042,Zendaya,Supporting
162,t0042,Deepika Padukone,Lead
163,t0043,Deepika Padukone,Supporting
164,t0043,Florence Pugh,Supporting
165,t0043,Marion Cotillard,Lead
166,t0044,Lee Jung-jae,Supporting
167,t0044,Jason Momoa,Lead
168,t0044,Emma Stone,Lead
169,t0045,Awkwafina,Supporting
170,t0045,Florence Pugh,Supporting
171,t0045,Tom Hanks,Supporting
172,t0045,Lee Jung-jae,Supporting
173,t0046,Shah Rukh Khan,Supporting
174,t0046,Song Kang-ho,Supporting
175,t0046,Penélope Cruz,Supporting
176,t0047,Lupita Nyong'o,Supporting
177,t0047,Marion Cotillard,Lead
178,t0048,Shah Rukh Khan,Supporting
179,t0048,Cate Blanchett,Supporting
180,t0048,Rami Malek,Lead
181,t0048,Gal Gadot,Lead
182,t0049,Millie Bobby Brown,Lead
183,t0049,Lee Jung-jae,Supporting
184,t0049,Anya Taylor-Joy,Supporting
185,t0050,Lupita Nyong'o,Supporting
186,t0050,Denzel Washington,Lead
187,t0051,Deepika Padukone,Supporting
188,t0051,Regé-Jean Page,Supporting
189,t0051,Meryl Streep,Lead
190,t0051,Denzel Washington,Lead
191,t0052,Bae Doona,Supporting
192,t0052,Oscar Isaac,Supporting
193,t0052,Marion Cotillard,Supporting
194,t0053,Regé-Jean Page,Supporting
195,t0053,Awkwafina,Supporting
196,t0053,Adam Driver,Supporting
197,t0054,Marion Cotillard,Supporting
198,t0054,Pedro Pascal,Supporting
199,t0054,Priyanka Chopra,Lead
200,t0054,Tom Hanks,Supporting
201,t0054,Ken Watanabe,Lead
202,t0055,Mahershala Ali,Supporting
203,t0055,Jason Momoa,Supporting
204,t0056,Aishwarya Rai,Supporting
205,t0056,Song Kang-ho,Supporting
206,t0056,Gal Gadot,Lead
207,t0056,Gong Yoo,Supporting
208,t0056,Anya Taylor-Joy,Lead
209,t0057,Awkwafina,Lead
210,t0057,Lupita Nyong'o,Supporting
211,t0057,Gong Yoo,Supporting
212,t0057,Florence Pugh,Supporting
213,t0058,Ken Watanabe,Supporting
214,t0058,Deepika Padukone,Supporting
215,t0058,Priyanka Chopra,Supporting
216,t0059,Lupita Nyong'o,Supporting
217,t0059,Lee Jung-jae,Supporting
218,t0059,Viola Davis,Lead
219,t0059,Marion Cotillard,Supporting
220,t0059,Bae Doona,Lead
221,t0059,Denzel Washington,Supporting
222,t0060,Zendaya,Supporting
223,t0060,Javier Bardem,Supporting
224,t0060,Adam Driver,Lead
225,t0061,Penélope Cruz,Supporting
226,t0061,Florence Pugh,Lead
227,t0061,Rami Malek,Lead
228,t0061,Priyanka Chopra,Supporting
229,t0061,Jason Momoa,Supporting
230,t0062,Nawazuddin Siddiqui,Lead
231,t0062,Ryan Gosling,Supporting
232,t0062,John Boyega,Supporting
233,t0063,Meryl Streep,Lead
234,t0063,Viola Davis,Lead
235,t0063,Tom Hanks,Supporting
236,t0063,Pedro Pascal,Supporting
237,t0064,Deepika Padukone,Lead
238,t0064,Javier Bardem,Supporting
239,t0064,Millie Bobby Brown,Supporting
240,t0065,Meryl Streep,Supporting
241,t0065,Deepika Padukone,Supporting
242,t0065,Penélope Cruz,Lead
243,t0065,Tessa Thompson,Supporting
244,t0065,Oscar Isaac,Supporting
245,t0066,Zendaya,Supporting
246,t0066,Deepika Padukone,Supporting
247,t0066,Saoirse Ronan,Supporting
248,t0066,Anya Taylor-Joy,Supporting
249,t0067,Idris Elba,Supporting
250,t0067,Lupita Nyong'o,Lead
251,t0068,Marion Cotillard,Supporting
252,t0068,Timothée Chalamet,Supporting
253,t0068,Aishwarya Rai,Lead
254,t0068,Zendaya,Supporting
255,t0069,Saoirse Ronan,Supporting
256,t0069,Meryl Streep,Supporting
257,t0070,Bae Doona,Supporting
258,t0070,Meryl Streep,Supporting
259,t0070,Zendaya,Lead
260,t0070,Song Kang-ho,Lead
261,t0070,Saoirse Ronan,Lead
262,t0071,Shah Rukh Khan,Supporting
263,t0071,Tessa Thompson,Supporting
264,t0071,John Boyega,Lead
265,t0072,Awkwafina,Lead
266,t0072,Lee Jung-jae,Lead
267,t0072,Gal Gadot,Supporting
268,t0072,Anya Taylor-Joy,Supporting
269,t0072,Lupita Nyong'o,Supporting
270,t0072,Tom Hanks,Lead
271,t0073,Marion Cotillard,Supporting
272,t0073,Anya Taylor-Joy,Supporting
273,t0073,Jason Momoa,Supporting
274,t0073,Meryl Streep,Supporting
275,t0074,Marion Cotillard,Supporting
276,t0074,Lee Jung-jae,Lead
277,t0074,Priyanka Chopra,Lead
278,t0075,Tessa Thompson,Supporting
279,t0075,Gong Yoo,Supporting
280,t0075,Bae Doona,Supporting
281,t0075,Meryl Streep,Lead
282,t0075,Priyanka Chopra,Supporting
283,t0076,Mahershala Ali,Lead
284,t0076,Meryl Streep,Supporting
285,t0076,Florence Pugh,Supporting
286,t0076,Javier Bardem,Supporting
287,t0076,Saoirse Ronan,Supporting
288,t0076,Timothée Chalamet,Supporting
289,t0077,Michael B. Jordan,Lead
290,t0077,Bae Doona,Supporting
291,t0078,Regé-Jean Page,Lead
292,t0078,Nawazuddin Siddiqui,Supporting
293,t0078,Gong Yoo,Lead
294,t0078,Penélope Cruz,Supporting
295,t0078,Florence Pugh,Supporting
296,t0079,John Boyega,Supporting
297,t0079,Priyanka Chopra,Supporting
298,t0080,Adam Driver,Supporting
299,t0080,Ryan Gosling,Supporting
300,t0081,Jason Momoa,Lead
301,t0081,Lee Jung-jae,Supporting
302,t0081,Lupita Nyong'o,Supporting
303,t0082,Penélope Cruz,Supporting
304,t0082,Timothée Chalamet,Supporting
305,t0082,Jason Momoa,Supporting
306,t0082,Pedro Pascal,Supporting
307,t0082,Nawazuddin Siddiqui,Lead
308,t0083,Saoirse Ronan,Supporting
309,t0083,Florence Pugh,Supporting
310,t0083,Nawazuddin Siddiqui,Supporting
311,t0084,Rami Malek,Supporting
312,t0084,Emma Stone,Supporting
313,t0084,Saoirse Ronan,Supporting
314,t0084,Awkwafina,Supporting
315,t0084,Millie Bobby Brown,Supporting
316,t0085,Michael B. Jordan,Lead
317,t0085,Bae Doona,Lead
318,t0086,Gong Yoo,Supporting
319,t0086,Marion Cotillard,Supporting
320,t0087,Deepika Padukone,Supporting
321,t0087,Saoirse Ronan,Lead
322,t0087,Lee Jung-jae,Supporting
323,t0087,John Boyega,Supporting
324,t0087,Ken Watanabe,Lead
325,t0087,Zendaya,Supporting
326,t0088,Ken Watanabe,Supporting
327,t0088,Awkwafina,Supporting
328,t0089,Lee Jung-jae,Supporting
329,t0089,Idris Elba,Supporting
330,t0089,Cate Blanchett,Supporting
331,t0089,Gong Yoo,Supporting
332,t0089,Bae Doona,Supporting
333,t0089,Oscar Isaac,Supporting
334,t0090,Lee Jung-jae,Supporting
335,t0090,Denzel Washington,Supporting
336,t0090,Deepika Padukone,Lead
337,t0090,Millie Bobby Brown,Supporting
338,t0091,Mahershala Ali,Lead
339,t0091,Emma Stone,Supporting
340,t0092,Marion Cotillard,Lead
341,t0092,Zendaya,Lead
342,t0093,Lupita Nyong'o,Lead
343,t0093,Saoirse Ronan,Supporting
344,t0093,Pedro Pascal,Supporting
345,t0093,Shah Rukh Khan,Supporting
346,t0093,Adam Driver,Supporting
347,t0094,Timothée Chalamet,Supporting
348,t0094,Viola Davis,Supporting
349,t0094,Rami Malek,Lead
350,t0095,Zendaya,Supporting
351,t0095,Aishwarya Rai,Lead
352,t0096,Nawazuddin Siddiqui,Supporting
353,t0096,Meryl Streep,Supporting
354,t0097,Florence Pugh,Supporting
355,t0097,Marion Cotillard,Supporting
356,t0097,Pedro Pascal,Supporting
357,t0098,Aishwarya Rai,Supporting
358,t0098,Ken Watanabe,Lead
359,t0098,Pedro Pascal,Supporting
360,t0098,Javier Bardem,Supporting
361,t0098,Saoirse Ronan,Supporting
362,t0099,Javier Bardem,Supporting
363,t0099,Cate Blanchett,Supporting
364,t0099,Penélope Cruz,Supporting
365,t0099,Oscar Isaac,Supporting
366,t0099,Shah Rukh Khan,Lead
367,t0099,Adam Driver,Supporting
368,t0100,Oscar Isaac,Supporting
369,t0100,Javier Bardem,Supporting
370,t0100,Timothée Chalamet,Lead
371,t0100,Michael B. Jordan,Supporting
372,t0100,Penélope Cruz,Supporting
373,t0100,Denzel Washington,Supporting
374,t0101,Timothée Chalamet,Supporting
375,t0101,Shah Rukh Khan,Supporting
376,t0101,Anya Taylor-Joy,Supporting
377,t0101,Lee Jung-jae,Supporting
378,t0101,Tom Hanks,Lead
379,t0102,Ryan Gosling,Lead
380,t0102,Viola Davis,Lead
381,t0103,Millie Bobby Brown,Supporting
382,t0103,Shah Rukh Khan,Lead
383,t0103,Viola Davis,Supporting
384,t0103,Ken Watanabe,Supporting
385,t0103,Florence Pugh,Lead
386,t0103,Ryan Gosling,Supporting
387,t0104,Rami Malek,Supporting
388,t0104,Saoirse Ronan,Lead
389,t0104,Aishwarya Rai,Lead
390,t0104,Song Kang-ho,Lead
391,t0104,Lupita Nyong'o,Supporting
392,t0104,Mahershala Ali,Lead
393,t0105,Adam Driver,Supporting
394,t0105,Rami Malek,Supporting
395,t0105,Shah Rukh Khan,Supporting
396,t0105,Denzel Washington,Supporting
397,t0105,Emma Stone,Supporting
398,t0105,Cate Blanchett,Lead
399,t0106,Awkwafina,Supporting
400,t0106,Lee Jung-jae,Lead
401,t0106,Adam Driver,Supporting
402,t0107,Ryan Gosling,Supporting
403,t0107,Tessa Thompson,Supporting
404,t0107,Michael B. Jordan,Supporting
405,t0108,Nawazuddin Siddiqui,Supporting
406,t0108,Zendaya,Lead
407,t0108,Florence Pugh,Supporting
408,t0109,Ken Watanabe,Supporting
409,t0109,Penélope Cruz,Supporting
410,t0109,Shah Rukh Khan,Lead
411,t0110,Michael B. Jordan,Supporting
412,t0110,Song Kang-ho,Supporting
413,t0110,Javier Bardem,Supporting
414,t0110,Priyanka Chopra,Supporting
415,t0111,Saoirse Ronan,Supporting
416,t0111,Oscar Isaac,Supporting
417,t0111,Lupita Nyong'o,Supporting
418,t0111,Florence Pugh,Supporting
419,t0111,Gong Yoo,Lead
420,t0111,Shah Rukh Khan,Supporting
421,t0112,Bae Doona,Lead
422,t0112,John Boyega,Supporting
423,t0112,Nawazuddin Siddiqui,Lead
424,t0113,Tessa Thompson,Lead
425,t0113,Anya Taylor-Joy,Supporting
426,t0113,Regé-Jean Page,Supporting
427,t0113,Saoirse Ronan,Supporting
428,t0113,Michael B. Jordan,Lead
429,t0114,Marion Cotillard,Supporting
430,t0114,Tessa Thompson,Supporting
431,t0114,Florence Pugh,Supporting
432,t0114,Millie Bobby Brown,Supporting
433,t0114,Deepika Padukone,Supporting
434,t0114,Shah Rukh Khan,Supporting
435,t0115,Song Kang-ho,Supporting
436,t0115,Denzel Washington,Supporting
437,t0115,Meryl Streep,Supporting
438,t0115,Tom Hanks,Lead
439,t0115,Deepika Padukone,Supporting
440,t0116,Priyanka Chopra,Supporting
441,t0116,Song Kang-ho,Lead
442,t0116,Viola Davis,Supporting
443,t0117,Mahershala Ali,Lead
444,t0117,Awkwafina,Supporting
445,t0117,Tessa Thompson,Supporting
446,t0117,Rami Malek,Supporting
447,t0117,Aishwarya Rai,Supporting
448,t0117,John Boyega,Supporting
449,t0118,Saoirse Ronan,Supporting
450,t0118,Anya Taylor-Joy,Lead
451,t0118,Mahershala Ali,Supporting
452,t0118,Ken Watanabe,Supporting
453,t0118,John Boyega,Supporting
454,t0118,Adam Driver,Supporting
455,t0119,Gal Gadot,Lead
456,t0119,Millie Bobby Brown,Lead
457,t0120,Emma Stone,Supporting
458,t0120,Lupita Nyong'o,Supporting
459,t0120,Nawazuddin Siddiqui,Supporting
460,t0120,Penélope Cruz,Supporting
461,t0120,Anya Taylor-Joy,Supporting
462,t0121,Gal Gadot,Lead
463,t0121,Mahershala Ali,Supporting
464,t0121,Timothée Chalamet,Supporting
465,t0121,Zendaya,Lead
466,t0121,Lupita Nyong'o,Lead
467,t0121,Deepika Padukone,Lead
468,t0122,Tessa Thompson,Supporting
469,t0122,Michael B. Jordan,Supporting
470,t0122,Awkwafina,Supporting
471,t0122,Tom Hanks,Lead
472,t0122,John Boyega,Supporting
473,t0122,Gal Gadot,Lead
474,t0123,Lupita Nyong'o,Supporting
475,t0123,Regé-Jean Page,Supporting
476,t0123,Emma Stone,Supporting
477,t0123,Oscar Isaac,Supporting
478,t0123,Saoirse Ronan,Supporting
479,t0124,Penélope Cruz,Lead
480,t0124,Gal Gadot,Supporting
481,t0124,Oscar Isaac,Supporting
482,t0125,Saoirse Ronan,Supporting
483,t0125,Deepika Padukone,Supporting
484,t0126,Lee Jung-jae,Supporting
485,t0126,Tom Hanks,Supporting
486,t0126,Adam Driver,Lead
487,t0126,Viola Davis,Supporting
488,t0126,Idris Elba,Lead
489,t0126,Lupita Nyong'o,Supporting
490,t0127,Lupita Nyong'o,Supporting
491,t0127,Bae Doona,Supporting
492,t0127,Saoirse Ronan,Supporting
493,t0127,Oscar Isaac,Lead
494,t0127,Javier Bardem,Supporting
495,t0128,Aishwarya Rai,Lead
496,t0128,Lee Jung-jae,Lead
497,t0128,Shah Rukh Khan,Supporting
498,t0129,Aishwarya Rai,Supporting
499,t0129,Awkwafina,Lead
500,t0129,Michael B. Jordan,Supporting
501,t0130,John Boyega,Supporting
502,t0130,Meryl Streep,Supporting
503,t0130,Deepika Padukone,Supporting
504,t0130,Gal Gadot,Supporting
505,t0130,Oscar Isaac,Lead
506,t0131,Tessa Thompson,Supporting
507,t0131,Viola Davis,Supporting
508,t0131,Denzel Washington,Supporting
509,t0131,Marion Cotillard,Supporting
510,t0132,Marion Cotillard,Lead
511,t0132,Song Kang-ho,Supporting
512,t0132,Tessa Thompson,Lead
513,t0133,Florence Pugh,Supporting
514,t0133,Mahershala Ali,Lead
515,t0133,Priyanka Chopra,Supporting
516,t0133,Jason Momoa,Lead
517,t0134,Ryan Gosling,Lead
518,t0134,Deepika Padukone,Lead
519,t0134,Emma Stone,Supporting
520,t0134,Penélope Cruz,Supporting
521,t0135,Saoirse Ronan,Supporting
522,t0135,Ryan Gosling,Supporting
523,t0135,Timothée Chalamet,Lead
524,t0136,Gong Yoo,Supporting
525,t0136,Cate Blanchett,Lead
526,t0136,Regé-Jean Page,Supporting
527,t0137,Emma Stone,Supporting
528,t0137,Penélope Cruz,Lead
529,t0137,Tom Hanks,Supporting
530,t0137,Song Kang-ho,Supporting
531,t0137,Rami Malek,Lead
532,t0138,Rami Malek,Supporting
533,t0138,Ryan Gosling,Supporting
534,t0138,Marion Cotillard,Supporting
535,t0138,Ken Watanabe,Supporting
536,t0138,Emma Stone,Supporting
537,t0138,Anya Taylor-Joy,Lead
538,t0139,Emma Stone,Lead
539,t0139,Shah Rukh Khan,Lead
540,t0140,Deepika Padukone,Supporting
541,t0140,Bae Doona,Supporting
542,t0140,Song Kang-ho,Lead
543,t0140,Viola Davis,Lead
544,t0140,Anya Taylor-Joy,Supporting
545,t0140,Rami Malek,Lead
546,t0141,Regé-Jean Page,Lead
547,t0141,Penélope Cruz,Supporting
548,t0141,Pedro Pascal,Lead
549,t0141,Anya Taylor-Joy,Supporting
550,t0141,Gal Gadot,Supporting
551,t0142,Cate Blanchett,Lead
552,t0142,Florence Pugh,Supporting
553,t0143,Timothée Chalamet,Supporting
554,t0143,Song Kang-ho,Supporting
555,t0144,Rami Malek,Lead
556,t0144,Aishwarya Rai,Lead
557,t0144,Saoirse Ronan,Supporting
558,t0144,Song Kang-ho,Lead
559,t0144,Anya Taylor-Joy,Lead
560,t0145,Saoirse Ronan,Supporting
561,t0145,Timothée Chalamet,Supporting
562,t0145,Regé-Jean Page,Supporting
563,t0146,Michael B. Jordan,Supporting
564,t0146,Song Kang-ho,Supporting
565,t0146,Gong Yoo,Supporting
566,t0146,Anya Taylor-Joy,Supporting
567,t0146,Saoirse Ronan,Supporting
568,t0147,Meryl Streep,Supporting
569,t0147,Lupita Nyong'o,Supporting
570,t0148,Mahershala Ali,Supporting
571,t0148,Denzel Washington,Supporting
572,t0149,Saoirse Ronan,Supporting
573,t0149,Emma Stone,Supporting
574,t0149,Zendaya,Supporting
575,t0150,Anya Taylor-Joy,Supporting
576,t0150,Oscar Isaac,Supporting
577,t0151,Viola Davis,Supporting
578,t0151,Shah Rukh Khan,Supporting
579,t0151,Denzel Washington,Supporting
580,t0152,Regé-Jean Page,Lead
581,t0152,Zendaya,Supporting
582,t0152,Emma Stone,Supporting
583,t0153,Nawazuddin Siddiqui,Lead
584,t0153,Idris Elba,Supporting
585,t0153,Timothée Chalamet,Supporting
586,t0153,Awkwafina,Supporting
587,t0154,John Boyega,Lead
588,t0154,Rami Malek,Lead
589,t0154,Awkwafina,Supporting
590,t0154,Oscar Isaac,Lead
591,t0155,Anya Taylor-Joy,Lead
592,t0155,Lee Jung-jae,Supporting
593,t0155,Saoirse Ronan,Lead
594,t0155,Ryan Gosling,Supporting
595,t0155,Song Kang-ho,Supporting
596,t0155,Gong Yoo,Supporting
597,t0156,John Boyega,Lead
598,t0156,Anya Taylor-Joy,Supporting
599,t0156,Emma Stone,Supporting
600,t0156,Penélope Cruz,Lead
601,t0156,Ken Watanabe,Lead
602,t0157,Jason Momoa,Supporting
603,t0157,Awkwafina,Supporting
604,t0157,Deepika Padukone,Supporting
605,t0157,Regé-Jean Page,Supporting
606,t0157,Florence Pugh,Lead
607,t0157,Rami Malek,Supporting
608,t0158,Gal Gadot,Supporting
609,t0158,Adam Driver,Supporting
610,t0158,Gong Yoo,Lead
611,t0159,Denzel Washington,Lead
612,t0159,Oscar Isaac,Supporting
613,t0159,Viola Davis,Supporting
614,t0159,Gal Gadot,Supporting
615,t0159,Pedro Pascal,Supporting
616,t0159,Zendaya,Supporting
617,t0160,Song Kang-ho,Lead
618,t0160,Meryl Streep,Supporting
619,t0160,Saoirse Ronan,Supporting
620,t0160,Penélope Cruz,Supporting
621,t0160,Javier Bardem,Lead
622,t0160,Denzel Washington,Lead
623,t0161,Penélope Cruz,Lead
624,t0161,Regé-Jean Page,Supporting
625,t0161,Song Kang-ho,Supporting
626,t0162,Aishwarya Rai,Supporting
627,t0162,Rami Malek,Supporting
628,t0163,Awkwafina,Supporting
629,t0163,Oscar Isaac,Supporting
630,t0164,Awkwafina,Lead
631,t0164,Saoirse Ronan,Supporting
632,t0164,Idris Elba,Supporting
633,t0164,Millie Bobby Brown,Lead
634,t0164,Shah Rukh Khan,Supporting
635,t0164,Song Kang-ho,Supporting
636,t0165,Ryan Gosling,Supporting
637,t0165,Idris Elba,Supporting
638,t0165,Ken Watanabe,Supporting
639,t0165,Meryl Streep,Lead
640,t0165,Adam Driver,Supporting
641,t0165,Gong Yoo,Lead
642,t0166,Tessa Thompson,Supporting
643,t0166,Tom Hanks,Supporting
644,t0167,Michael B. Jordan,Supporting
645,t0167,Shah Rukh Khan,Supporting
646,t0167,Idris Elba,Supporting
647,t0167,Oscar Isaac,Lead
648,t0167,Emma Stone,Supporting
649,t0167,Cate Blanchett,Supporting
650,t0168,Anya Taylor-Joy,Supporting
651,t0168,Michael B. Jordan,Lead
652,t0168,Millie Bobby Brown,Lead
653,t0169,Lupita Nyong'o,Lead
654,t0169,Ryan Gosling,Supporting
655,t0169,Bae Doona,Lead
656,t0169,Meryl Streep,Lead
657,t0169,Awkwafina,Supporting
658,t0170,Anya Taylor-Joy,Supporting
659,t0170,Michael B. Jordan,Supporting
660,t0170,Saoirse Ronan,Supporting
661,t0170,Emma Stone,Supporting
662,t0170,Zendaya,Supporting
663,t0171,Lee Jung-jae,Supporting
664,t0171,Oscar Isaac,Supporting
665,t0171,Ken Watanabe,Supporting
666,t0171,Penélope Cruz,Supporting
667,t0172,Bae Doona,Supporting
668,t0172,Aishwarya Rai,Supporting
669,t0172,Cate Blanchett,Lead
670,t0172,Gal Gadot,Supporting
671,t0172,Ryan Gosling,Lead
672,t0172,Nawazuddin Siddiqui,Supporting
673,t0173,Aishwarya Rai,Supporting
674,t0173,Viola Davis,Supporting
675,t0173,Shah Rukh Khan,Supporting
676,t0173,Marion Cotillard,Supporting
677,t0173,Penélope Cruz,Supporting
678,t0174,Gal Gadot,Supporting
679,t0174,Timothée Chalamet,Lead
680,t0174,Emma Stone,Lead
681,t0174,Mahershala Ali,Supporting
682,t0174,Awkwafina,Supporting
683,t0174,Zendaya,Supporting
684,t0175,Javier Bardem,Supporting
685,t0175,Idris Elba,Supporting
686,t0175,Deepika Padukone,Supporting
687,t0175,Bae Doona,Supporting
688,t0176,Jason Momoa,Lead
689,t0176,Regé-Jean Page,Supporting
690,t0176,Aishwarya Rai,Lead
691,t0176,Tessa Thompson,Lead
692,t0176,Shah Rukh Khan,Supporting
693,t0177,Song Kang-ho,Supporting
694,t0177,Penélope Cruz,Supporting
695,t0178,Penélope Cruz,Lead
696,t0178,Zendaya,Supporting
697,t0178,Oscar Isaac,Supporting
698,t0178,Jason Momoa,Supporting
699,t0179,Saoirse Ronan,Lead
700,t0179,Idris Elba,Supporting
701,t0179,Rami Malek,Lead
702,t0179,Deepika Padukone,Supporting
703,t0180,Timothée Chalamet,Supporting
704,t0180,Zendaya,Lead
705,t0180,Shah Rukh Khan,Supporting
706,t0181,Ryan Gosling,Lead
707,t0181,Idris Elba,Lead
708,t0181,Denzel Washington,Supporting
709,t0181,Marion Cotillard,Lead
710,t0181,Regé-Jean Page,Lead
711,t0181,Viola Davis,Supporting
712,t0182,Timothée Chalamet,Supporting
713,t0182,Anya Taylor-Joy,Lead
